Time,humidity (%)
2022-05-02 00:00:00,21.33
2022-05-02 18:00:00,23.45
2022-05-02 21:00:00,18.65
2022-05-03 10:00:00,26.09
2022-05-03 14:00:00,27.6
2022-05-03 23:00:00,24.71
2022-05-04 09:00:00,29.91
2022-05-04 21:00:00,27.67
2022-05-05 03:00:00,32.01
2022-05-05 07:00:00,29.27
2022-05-05 10:00:00,31.15
2022-05-05 11:00:00,45.93
2022-05-06 04:00:00,43.06
2022-05-06 05:00:00,41.15
2022-05-06 10:00:00,39.86
2022-05-06 12:00:00,41.41
2022-05-06 13:00:00,40.629999999999995
2022-05-06 16:00:00,42.85
2022-05-07 01:00:00,37.91
2022-05-07 03:00:00,41.620000000000005
2022-05-07 10:00:00,46.629999999999995
2022-05-07 11:00:00,45.5
2022-05-07 19:00:00,48.53
2022-05-08 00:00:00,46.730000000000004
2022-05-08 09:00:00,51.06
2022-05-08 15:00:00,48.69
2022-05-08 19:00:00,50.97
2022-05-09 07:00:00,45.71
2022-05-09 19:00:00,49.16
2022-05-10 00:00:00,48.6
2022-05-10 04:00:00,50.29
